대여소번호,대여소명,자치구,경도,위도
102, 망원역 1번출구 앞,마포구,126.91062927,37.5556488
103, 망원역 2번출구 앞,마포구,126.91083527,37.55495071
104, 합정역 1번출구 앞,마포구,126.91498566,37.55062866
105, 합정역 5번출구 앞,마포구,126.91482544,37.55000687
106, 합정역 7번출구 앞,마포구,126.91282654,37.54864502
107, 신한은행 서교동지점,마포구,126.91850281,37.55751038
108, 서교동 사거리,마포구,126.91861725,37.55274582
111, 상수역 2번출구 앞,마포구,126.92353058,37.54787064
113, 홍대입구역 2번출구 앞,마포구,126.9238205,37.5574379
114, 홍대입구역 8번출구 앞,마포구,126.92442322,37.55706024
115, 마스타 빌딩 앞,서대문구,126.92711639,37.55893326
117, 홍은사거리,서대문구,126.94132996,37.59115982
118, 광흥창역 2번출구 앞,마포구,126.9317627,37.54773331
119, 서강나루 공원,마포구,126.93105316,37.54528427
120, 신수동 사거리,마포구,126.93411255,37.54524231
121, 마포소방서 앞,마포구,126.93317413,37.54976654
122, 신성기사식당 앞,마포구,126.93837738,37.54745865
123, 문화촌 공원,서대문구,126.9473877,37.59432983
124, 서강대 정문 건너편,마포구,126.93698883,37.55113983
126, 서강대 후문 옆,마포구,126.94384766,37.55041122
127, 현대벤처빌 앞,마포구,126.93695068,37.5535202
128, 신촌역(2호선) 1번출구 옆,서대문구,126.93634033,37.55549622
129, 신촌역(2호선) 6번출구 옆,마포구,126.93756866,37.55505371
130, 신촌역(2호선) 7번출구 앞,마포구,126.93615723,37.55485916
131, 증산2교,서대문구,126.91110229,37.5841713
133, 해담는다리,서대문구,126.90899658,37.58203125
134, 연세로 명물길,서대문구,126.93807983,37.55789185
135, 명물길 원형무대 앞,서대문구,126.93984222,37.55922699
137, 신촌기차역입구 교차로,서대문구,126.9431839,37.55681229
138, 신촌동 제1공영주차장 앞,서대문구,126.93452454,37.5591774
139, 연세대 정문 건너편,서대문구,126.93441772,37.55986404
140, 이화여대 후문,서대문구,126.94073486,37.560009
141, 연대 대운동장 옆,서대문구,126.93264771,37.56238174
142, 아현역 4번출구 앞,마포구,126.95566559,37.55720139
143, 공덕역 2번출구,마포구,126.9502182,37.54457855
145, 공덕역 5번출구,마포구,126.95163727,37.54425049
146, 마포역 2번출구 뒤,마포구,126.94582367,37.53993607
147, 마포역 4번출구 뒤,마포구,126.94591522,37.53927231
148, 용강동 주민센터 앞,마포구,126.94302368,37.54234695
150, 서강대역 2번출구 앞,마포구,126.93434143,37.55295563
153, 성산2교 사거리,마포구,126.91261292,37.56469727
154, 마포구청역,마포구,126.90549469,37.56090927
155, 가좌역1 번출구 앞,마포구,126.91504669,37.56829453
156, 서울서부지방법원 앞,마포구,126.95491791,37.54933167
157, 애오개역 4번출구 앞,마포구,126.95668793,37.5530014
159, 이대역 4번 출구,서대문구,126.94634247,37.55695343
160,북아현동 가구거리,서대문구,126.9593811,37.55754852
161, 무악재역1번 출구,서대문구,126.95064545,37.58224487
162, 봉원고가차도 밑,서대문구,126.94624329,37.56526947
163, 명지전문대학교 정문 앞,서대문구,126.9249649,37.58369827
164, 북가좌1동 주민센터,서대문구,126.91004944,37.57447815
165, 중앙근린공원,서대문구,126.91394043,37.57513809
166, 가재울 초등학교,서대문구,126.91923523,37.57381821
167, 연가초등학교 옆,서대문구,126.91712952,37.57946014
169, 북가좌 삼거리,서대문구,126.90779877,37.57300186
170, DMC파크뷰자이아파트 302동 앞,서대문구,126.9224472,37.57311249
171, 임광빌딩 앞,서대문구,126.96727753,37.56472397
173, 서대문역 8번출구 앞,서대문구,126.96614838,37.56477737
175, 홍연2교옆,서대문구,126.93088531,37.57806778
176, 명지대학교 도서관,서대문구,126.92402649,37.58109665
177, 북가좌 초등학교,서대문구,126.9098053,37.57767487
178, 증산3교 앞,서대문구,126.90634918,37.57987595
179, 가좌역 4번출구 앞,서대문구,126.91529846,37.56877518
180, 충정로역 7번출구 아래,서대문구,126.96246338,37.55996704
181, 망원초록길 입구,마포구,126.90267181,37.55134201
182, 망원2빗물펌프장 앞,마포구,126.90306091,37.5513649
183, 하늘채코오롱아파트 건너편,마포구,126.91939545,37.56516647
184, 7번가피자 서교망원점,마포구,126.90775299,37.55894852
185, 마포 신수공원 앞,마포구,126.93429565,37.54254532
186, 월드컵공원,마포구,126.89820862,37.56396484
188, 홍은동 정원여중 입구,서대문구,126.93512726,37.58638763
191, 서우빌딩,서대문구,126.91073608,37.57889175
192, 연서어린이공원,서대문구,126.92306519,37.57222748
194, 증산교 앞,서대문구,126.90296936,37.57731628
195, 모래내고가차도,서대문구,126.91780853,37.56765747
196, 연희교차로 인근,서대문구,126.92589569,37.56612015
198, 충정2교,서대문구,126.96377563,37.5621376
199, 서울 월드컵 경기장,마포구,126.89644623,37.56684494
200, 국회의원회관,영등포구,126.91391754,37.52841568
201, 진미파라곤 앞,영등포구,126.92133331,37.53123856
202, 국민일보 앞,영등포구,126.92453003,37.52881622
203, 국회의사당역 3번출구 옆,영등포구,126.91870117,37.5280571
204, 국회의사당역 5번출구 옆,영등포구,126.91702271,37.52816391
205, 산업은행 앞,영등포구,126.92050934,37.52626419
206, KBS 앞,영등포구,126.91802216,37.52466583
207, 여의나루역 1번출구 앞,영등포구,126.93190002,37.52715683
209, 유진투자증권빌딩 앞,영등포구,126.92783356,37.52461243
211, 여의도역 4번출구 옆,영등포구,126.92463684,37.52222824
212, 여의도역 1번출구 옆,영등포구,126.92346191,37.5213623
213, KT앞,영등포구,126.91895294,37.52190781
214, 금융감독원 앞,영등포구,126.9208374,37.5230217
215, 여의도고교 앞,영등포구,126.93490601,37.52483749
217, NH농협은행 앞,영등포구,126.93036652,37.52207947
219, 롯데캐슬엠파이어 옆,영등포구,126.92583466,37.52069473
220, 미성아파트 A동 앞,영등포구,126.92604828,37.5193634
221, 여의도초교 앞,영등포구,126.93778992,37.52267456
222, 시범아파트버스정류장 옆,영등포구,126.93688965,37.51902008
223, 진주아파트상가 앞,영등포구,126.9333725,37.51913071
224, 롯데캐슬 앞,영등포구,126.93236542,37.520088200000004
225, 앙카라공원 앞,영등포구,126.92961884,37.51758575
226, 샛강역 1번출구 앞,영등포구,126.92841339,37.51776505
227, 양평2나들목 보행통로 입구,영등포구,126.88835907,37.54466629
228, 선유도역 3번출구 앞,영등포구,126.89450836,37.53845978
229, 양평1 보행육교 앞,영등포구,126.8921814,37.53587341
230, 영등포구청역 1번출구,영등포구,126.89621735,37.52463531
231, 남부고용노동지청 남측,영등포구,126.89182281,37.52450562
232, 양평우림 이비즈센타 앞,영등포구,126.88781738,37.52565002
233, 양평1동 YP센터 앞,영등포구,126.89164734,37.52848816
235, 신길동 우리은행 옆,영등포구,126.91023254,37.50456619
236, 문래동자이아파트 앞,영등포구,126.89461517,37.51615524
237, 보라매 두산위브 건너편,동작구,126.91480255,37.49651337
238, 제2구민체육센타 앞,영등포구,126.90275574,37.52638626
239, 유스호스텔 앞,영등포구,126.90328217,37.5258522
240, 문래역 4번출구 앞,영등포구,126.89557648,37.51873779
241, 신길우성1차아파트 앞 공원,영등포구,126.89853668,37.50501633
242, 신길선원가와인아파트 앞,영등포구,126.91022491,37.51093292
243, 이앤씨드림타워 앞,영등포구,126.89138031,37.52708435
244, 영등포삼환아파트 앞,영등포구,126.90570831,37.53007889
245, 삼성생명 당산사옥 앞,영등포구,126.89662933,37.52826309
247, 당산역 10번출구 앞,영등포구,126.90223694,37.53342056
248, 초원아파트 앞,영등포구,126.92420959,37.53105545
249, 여의도중학교 옆,영등포구,126.93611908,37.52434921
250, 대림아파트 사거리,영등포구,126.92308044,37.50764084
251, 서울지방병무청 버스정류장,영등포구,126.92195129,37.50449371
252, 보라매역4번출구,영등포구,126.91994476,37.49982834
253, 신풍역 5번출구 인근,영등포구,126.90951538,37.5006485
254, 도림신협 앞,영등포구,126.90341949,37.50380325
255, 도림사거리,영등포구,126.90113068,37.50657272
256, 동아에코빌입구,영등포구,126.89929962,37.50947571
258, 신길역3번출구,영등포구,126.91429901,37.51769257
259, 대방역6번출구,영등포구,126.92593384,37.51359177
260, 여의도 마리나선착장 앞,영등포구,126.91216278,37.53365707
263, 근로자회관 사거리,영등포구,126.8886261,37.51715088
264, 교보생명보험 앞,영등포구,126.89161682,37.52193069
265, 영등포유통상가 사거리,영등포구,126.89653778,37.52113342
266, 영등포청과시장 사거리,영등포구,126.90119171,37.52029419
267, 삼성화재 사옥 옆,영등포구,126.89830017,37.53596115
268, 그랜드컨벤션센터 앞,영등포구,126.90000153,37.53471756
270, 증권거래소후문교차로,영등포구,126.92710114,37.52234268
271, 샛강생태공원방문자센터 앞,영등포구,126.9216156,37.51896286
272, 당산육갑문,영등포구,126.90367889,37.53533936
275, 신동아아파트,영등포구,126.88568115,37.52269745
276, 영등포로터리2,영등포구,126.9126358,37.51828384
278, 쌍용플레티넘오피스텔,영등포구,126.89523315,37.50793076
279,영등포 푸르지오 아파트 B,영등포구,126.90446471999999,37.51322937
280, 양평동6차현대아파트 앞,영등포구,126.8944397,37.53210068
281,대림신동아아파트 앞,영등포구,126.89398193,37.49824142
282, 신한은행 대림동지점,영등포구,126.90487671,37.48752975
283, 아크로타워 스퀘어(영등포시장),영등포구,126.90721893,37.52251816
284, 센트럴 푸르지오 시티 앞,영등포구,126.90222931,37.51821136
285,콤텍시스템 앞,영등포구,126.89723969,37.49985886
286, 우성아파트 교차로,영등포구,126.89974976,37.49457169
287, 영등포전화국사거리 (서강어린이공원),영등포구,126.90573883,37.52576828
288, 쌍용예가(구청별관),영등포구,126.89338684,37.52809906
289, 대림3동사거리,영등포구,126.89800262,37.49980927
290,새말소공원,영등포구,126.89782715,37.5315094
291, 문래동 하이테크 시티,영등포구,126.89939117,37.51412964
292, 영일 어린이공원,영등포구,126.90406799,37.51012039
293, 충북 미래관,영등포구,126.90757751,37.52917099
295,영등포공원 분수대 앞,영등포구,126.91170502,37.51481247
296,KT플라자 영등포점,영등포구,126.90538025,37.52630234
297,국회3문,영등포구,126.91267395,37.52863693
298,KBS 연구동 건너편,영등포구,126.91429901,37.52750778
299,여의도 순복음교회,영등포구,126.92245483,37.53179169
300, 정동사거리,중구,126.96923065,37.56805038
301, 경복궁역 7번출구 앞,종로구,126.97145081,37.57579422
302, 경복궁역 4번출구 뒤,종로구,126.97406006,37.57594681
303, 광화문역 1번출구 앞,종로구,126.97466278,37.57176971
305, 종로구청 옆,종로구,126.97833252,37.57255936
307, 서울역사박물관 앞,종로구,126.97109985,37.56999969
308, 광화문 S타워 앞,종로구,126.97393799,37.56996918
309, 광화문역 6번출구 옆 B,종로구,126.97615814,37.56996155
310, 청계광장 옆,중구,126.9774704,37.56887817
314, 국립현대미술관,종로구,126.98085785,37.5797081
316, 종각역 1번출구 앞,종로구,126.98178864,37.57039642
318, 광교사거리 남측,중구,126.98231506,37.56863403
320, 을지로입구역 4번출구 앞,중구,126.98358917,37.56622314
321, KEB 하나금융그룹 명동사옥 옆,중구,126.98413849,37.56546402
322, 명동성당 앞,중구,126.98696899,37.56447601
324, 신세계백화점 본점 앞,중구,126.98069763,37.56143188
326, 안국역 5번출구 앞,종로구,126.98616028000001,37.57624054
327, 낙원상가 옆,종로구,126.9874649,37.57335663
328, 탑골공원 앞,종로구,126.9881897,37.57039642
329, 청계2가 사거리 옆,종로구,126.98788452,37.56848526
331, 을지로2가 사거리 북측,중구,126.98720551,37.56638336
332, 을지로2가 사거리 남측,중구,126.98779297,37.56599045
334, 종로3가역 2번출구 뒤,종로구,126.99179077,37.5705986
335, 종로3가역 15번출구 앞,종로구,126.99165344,37.57019424
336, 충무로역 6번출구 앞,중구,126.99311066,37.56144714
337, 창경궁 입구,종로구,126.99647522,37.57897949
338,세운스퀘어 앞,종로구,126.99712372,37.57095718
339, 종로4가 사거리,종로구,126.99819183,37.57106781
340, 혜화동 로터리,종로구,127.00067902,37.58562851
341, 혜화역 3번출구 뒤,종로구,127.00178528000001,37.58156967
342, 대학로 마로니에공원,종로구,127.00253296,37.57978439
343,힐스테이트창경궁 아파트 앞,종로구,127.00469971,37.57561111
344, 성균관대 E하우스 앞,종로구,127.0065918,37.57419968
345, 서울보증보험본사 앞,종로구,127.00070953,37.57330704
346, 맥스타일 앞,중구,127.00988007,37.56918335
347, 동대문역사문화공원역 9번출구 앞,중구,127.00784302,37.56533051
348, 독립문역 사거리,종로구,126.96078491,37.57202911
349,어린이도서관,종로구,126.96858978,37.57633209
351, 청운초교 앞 삼거리,종로구,126.97041321,37.58496857
352, 중앙고입구 삼거리,종로구,126.98523712,37.58341599
353, 재동초교 앞 삼거리,종로구,126.9849472,37.57938766
354, 포르투갈 대사관 앞,종로구,126.98896027,37.57915497
355,서울사대부설초등학교 앞,종로구,127.00245667,37.57650757
356, KT혜화지사 앞,종로구,127.00205994,37.57714462
358,성균관대입구 사거리 A,종로구,126.99853516,37.58250046
359, 원남동사거리,종로구,126.99768066,37.57606125
361, 동묘앞역 1번출구 뒤,종로구,127.01590729,37.57324219
362, 청계8가 사거리 A,종로구,127.02304077,37.57219696
363, 신설동역 11번출구 뒤,종로구,127.02285004,37.57559204
364, 창신역 1번출구 앞,종로구,127.01508331,37.57933426
367, 독립문역 3-1번출구,종로구,126.95851898,37.57415771
368, SK 서린빌딩 앞,종로구,126.98053741,37.5692482
370, 시청역(2호선) 9번출구 뒤,중구,126.97483826,37.56322861
371, 동대입구역 6번출구 뒤,중구,127.00553894,37.55887222
372, 약수역 3번출구 뒤,중구,127.01119995,37.55429459
374, 청구역 2번출구 앞,중구,127.01407623,37.5604744
379, 서울역9번출구,중구,126.97335815,37.55599976
380, CJ제일제당 앞,중구,127.00274658,37.56386566
381, 장충체육관,중구,127.00698853,37.55853271
382, 약수역 10번출구 앞,중구,127.01004791,37.55519867
383, 신당역 12번 출구 뒤,중구,127.0164032,37.565849299999996
384, 종로학원본원,중구,126.96850586,37.55978012
385, 종각역 5번출구,종로구,126.98265839,37.56983566
387, 훈련원공원주차장 앞,중구,127.00346375,37.56699371
388, 동성중학교 앞,종로구,127.0016098,37.58573532
389, 을지로4가역 1번출구,중구,126.99660492,37.5667305
390, 충무로역 1번출구,중구,126.9953537,37.56138992
391, 시립미술관,중구,126.97340393,37.56505203
393, 동대문역 8번 출구,종로구,127.00937653,37.57014084
394, 경희궁 자이 3단지,종로구,126.96591949,37.56748962
395, 경희궁 자이 2단지,종로구,126.96456146,37.56885529
397, 종묘공영주차장 건너편,종로구,126.99663544,37.57048035
398, 을지로3가역 3번출구,중구,126.99243927,37.56655884
399, 서울역 센트럴 자이아파트,중구,126.96540833,37.55410767
400, 상암한화오벨리스크 1차 앞,마포구,126.88300323,37.58752441
401, 상암월드컵파크 10단지 앞,마포구,126.88161469,37.58618927
402, 상암월드컵파크 9단지 앞,마포구,126.87982178,37.58285522
403, 부엉이공원 앞,마포구,126.88472748,37.58559036
405, DMC빌 앞,마포구,126.88578796,37.58265686
406, 상암월드컵파크 7단지 앞,마포구,126.88087463,37.58111191
407, 마포구 육아종합지원센터,마포구,126.88367462,37.58063126
408, LG CNS앞,마포구,126.88665009,37.58081055
409, 누리꿈스퀘어 옆,마포구,126.88916016,37.57939911
410, 상암중학교 옆,마포구,126.88747406,37.57739258
411, DMC홍보관,마포구,126.89147186,37.5779953
412, DMC산학협력연구센터 앞,마포구,126.89073944,37.57580185
413, 상암월드컵파크 3단지 후문,마포구,126.88968658,37.57147598
414, 상암동주민센터 옆,마포구,126.89447021,37.57822037
415, DMC역 9번출구 앞,마포구,126.89736176,37.57746887
416, 상암월드컵파크 1단지 교차로,마포구,126.89444733,37.57566452
417, DMC역 2번출구 옆,마포구,126.8999176,37.57506943
418, 월드컵경기장역 3번출구 옆,마포구,126.89897919,37.57072067
419,홈플러스 마포점 앞,마포구,126.89942932,37.56842041
420, 서울시 공공자전거 상암센터,마포구,126.8961792,37.56624603
421, 마포구청 앞,마포구,126.9018631,37.56574631
422, 문화비축기지,마포구,126.89440155,37.56897736
424, 롯데하이마트 (상암월드컵점),마포구,126.8980484,37.57361984
425, DMC첨단산업센터,마포구,126.88559723,37.58450317
426, 서울신용보증재단,마포구,126.95417786,37.54906082
427, 성산시영아파트,마포구,126.90381622,37.56958389
428, 명보사거리,중구,126.99143219,37.56439972
429, 송도병원,중구,127.00734711,37.549888609999996
430, 장충동먹자골목 앞,중구,127.0062561,37.56212616
431, 청계천 영도교,중구,127.01974487,37.5710144
432, 마포중앙도서관,마포구,126.90820312,37.56333923
433, 을지로입구역 2번출구,중구,126.98229218,37.56634521
434, 신당 래미안 버스정류장,중구,127.02393341,37.56148911
435, SK 남산빌딩,중구,126.97561646,37.55686188
436, 이대역 5번출구,마포구,126.94618988,37.55659103
437, 대흥역1번출구,마포구,126.9409256,37.54846954
438, 성산2-1 공영주차장,마포구,126.9067688,37.56472015
440, 하늘공원 입구,마포구,126.88134766,37.57012177
441,염천교사거리,중구,126.97149658,37.55989075
442,서울역 서부,중구,126.9691925,37.55641556
443,호암아트홀,중구,126.97071838,37.5621109
445,대한상공회의소,중구,126.97410583,37.56015396
446, 상명대입구,종로구,126.95783234,37.60012817
447, 신영동삼거리,종로구,126.96194458,37.60399246
449, 일성아파트,종로구,126.97286224,37.60871887
450, 효자동 삼거리,종로구,126.97254944,37.58360291
451, 청와대앞길,종로구,126.97966766,37.58351517
452, 동대문 종합시장 버스정류장,종로구,127.00440979,37.57123947
453, 종로오가 지하쇼핑센터 14번출구,종로구,127.00067139,37.57114029
454, 종로2가 버스정류장 (종각방향),종로구,126.98638153,37.57035828
455, 종로6가역 버스정류장(동대문 방향),종로구,127.00605774,37.570961
456, 숭인2동 주민센터 입구,종로구,127.0198288,37.57447052
457, 종로꽃시장 입구 옆,종로구,127.00720978,37.57131958
458, 광화문역 5번출구,종로구,126.97756958,37.56989288
461, 서울지방경찰청,종로구,126.97236633,37.57436371
464, 삼청동 골목,종로구,126.98169708,37.58419037
465, 삼청공원 앞,종로구,126.9835968,37.58760452
466,롯데호텔,중구,126.97981262,37.56584167
467,한국은행,중구,126.98086548,37.5622139
468,웨스틴 조선호텔,중구,126.97948456,37.56415939
469,회현역 1번출구,중구,126.98014069,37.5592308
470,회현역 7번출구,중구,126.98000336,37.55974579
471,회현사거리 남측,중구,126.98265076,37.56035995
472,삼일교(시그니쳐 타워),중구,126.98840332,37.56787109
473,을지로4가역 9번출구,중구,126.99798584,37.56605148
474,동대문역사문화공원역 1번출구 뒤편,중구,127.00849152,37.56629944
